ElectoralDistrictName,NDP,BQ,Conservative,Liberal,Green,PPC
Niagara Centre/Niagara-Centre,24,0,31.2,35,1.9,7.9
Niagara Falls,18.2,0,37.9,33.5,1.9,8.4
Niagara West/Niagara-Ouest,12.8,0,45.6,30.4,2.9,7.1
Nickel Belt,26.6,0,27.2,35.2,1.7,9.2
Nipissing--Timiskaming,22.1,0,31.8,38.8,0,7.4
Northumberland--Peterborough South/Northumberland--Peterborough-Sud,14.1,0,44.5,33.5,2.5,5.5
Oakville,8.8,0,40,46.1,1.8,3.2
Oakville North--Burlington/Oakville-Nord--Burlington,10,0,38,46.8,1.5,3.7
Orléans,14.6,0,28.8,51.9,1.6,2.7
Oshawa,28.5,0,39.7,23.1,1.5,7.1
Ottawa Centre/Ottawa-Centre,33,0,15.7,45.5,2.8,2.2
Ottawa South/Ottawa-Sud,19.4,0,26,48.8,2.4,3.2
Ottawa West--Nepean/Ottawa-Ouest--Nepean,19.4,0,28.7,45.1,2.9,3.3
Ottawa--Vanier,23.6,0,20,49,3.1,3.2
Oxford,18.3,0,47,20.5,2.7,10.6
Parkdale--High Park,39.2,0,13,42.5,1.8,3.1
Parry Sound--Muskoka,16.8,0,47.9,21.6,5.6,7.5
Perth--Wellington,17.2,0,48.6,24.6,0,9.6
Peterborough--Kawartha,18.9,0,39,35.1,2.2,4.4
Pickering--Uxbridge,13.1,0,36.1,46.9,0,4
Renfrew--Nipissing--Pembroke,21,0,49.5,19.4,1.9,7.6
Richmond Hill,8.7,0,38.8,47.7,0,3
St. Catharines,21.1,0,32.6,37.8,1.9,6.6
Sarnia--Lambton,21.1,0,46.2,19.3,1.5,11.2
Sault Ste. Marie,20,0,37.3,37.9,0,4.8
Scarborough Centre/Scarborough-Centre,13.6,0,24.4,57.6,0,3.7
Scarborough North/Scarborough-Nord,11,0,18.9,66.6,0,2.4
Scarborough Southwest/Scarborough-Sud-Ouest,16,0,20.8,57.5,2.5,2.9
Scarborough--Agincourt,10,0,29,56.5,1.7,2.7
Scarborough--Guildwood,13.6,0,21.3,61.1,0,2.9
Scarborough--Rouge Park,13.3,0,21.1,62.8,0,2.9
Simcoe North/Simcoe-Nord,15.7,0,43,30.4,3,7.6
Simcoe--Grey,13.2,0,47.3,27.8,3.9,7.2
Spadina--Fort York,34.5,0,20.2,38.9,3.4,3
Stormont--Dundas--South Glengarry,11,0,55.6,23.6,2.3,7.4
Sudbury,29.5,0,27.7,34.5,2,5.9
Thornhill,6.1,0,51.3,36.3,1.7,4.6
Thunder Bay--Rainy River,28.5,0,29.3,34.3,1.4,6.6
Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord,27.1,0,24.2,40.7,1.8,5.9
Timmins--James Bay/Timmins--Baie James,35.1,0,27.2,24.6,0,13.1
Toronto Centre/Toronto-Centre,26,0,12.2,50.4,8.6,2.3
Toronto--Danforth,33.7,0,12.6,48.4,2,2.5
Toronto--St. Paul's,16.8,0,25.3,49.2,6,2.7
University--Rosedale,25.2,0,20.1,47.5,4.2,2.5
Vaughan--Woodbridge,6.9,0,40.3,46,1,5.4
